2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,기계공학과,전기전자제어공학실습,101,김기동,2,전공과정,3,목 15:00 - 15:50 ( 공108 )  목 16:00 - 16:50 ( 공108 )  목 17:00 - 17:50 ( 공108 )
본과정,기계공학과,전기전자제어공학실습,102,김기동,2,전공과정,3,목 12:00 - 12:50 ( 공108 )  목 13:00 - 13:50 ( 공108 )  목 14:00 - 14:50 ( 공108 )
본과정,기계공학과,전기전자제어공학실습,103,김기동,2,전공과정,3,목 09:00 - 09:50 ( 공108 )  목 10:00 - 10:50 ( 공108 )  목 11:00 - 11:50 ( 공108 )
본과정,기계공학과,캡스톤디자인,101,박용군,2,전공과정,3,수 15:00 - 15:50 ( 공110 )  수 16:00 - 16:50 ( 공110 )  수 17:00 - 17:50 ( 공110 )
본과정,기계공학과,캡스톤디자인,102,임헌봉,2,전공과정,3,화 15:00 - 15:50 ( 공113 )  화 16:00 - 16:50 ( 공113 )  화 17:00 - 17:50 ( 공113 )
본과정,기계공학과,캡스톤디자인,103,최진석,2,전공과정,3,수 12:00 - 12:50 ( 공110 )  수 13:00 - 13:50 ( 공110 )  수 14:00 - 14:50 ( 공110 )
본과정,토목공학과,상수도설계,101,김학수,1,전공과정,2,수 15:00 - 15:50 ( 공207 )  수 16:00 - 16:50 ( 공207 )
본과정,토목공학과,상수도설계,102,김학수,1,전공과정,2,수 13:00 - 13:50 ( 공207 )  수 14:00 - 14:50 ( 공207 )
본과정,토목공학과,상수도설계,103,김학수,1,전공과정,2,수 09:00 - 09:50 ( 공207 )  수 10:00 - 10:50 ( 공207 )
본과정,토목공학과,수리학I,101,곽문수,1,전공과정,3,화 10:25 - 11:50 ( 공207 )  화 13:00 - 14:25 ( 공207 )
본과정,토목공학과,수리학I,102,곽문수,1,전공과정,3,월 09:00 - 10:25 ( 공207 )  월 14:00 - 15:25 ( 공207 )
